date,likes,user,location,text
2022-06-18 04:25:48+00:00,0,nicolebrena22,Death Star,"mds tem creme de morango no boticario agr, deus me segura"
2022-06-18 03:30:10+00:00,1,mtdesconto,Brasil,"Colônia Quasar Next Star Wars The Mandalorian 50ml - O Boticário na oBoticário - R$ 48,90. Oferta Relâmpago. #oferta #relampago #desconto #promoção #cupom https://t.co/qg0RRnpmNk"
2022-06-18 03:25:44+00:00,0,cyntcham,,"@lizziebang @flagmentada amigas ele nao sai mas ele transfere, sabe? :( fiquei meio panda no final do rolê, uó
e esse da boticario falam que é o melhor mesmo, qro testar"
2022-06-18 03:24:47+00:00,0,mymaddiecade,"Rua Fox, 300","Acabei de comprar um lapis de olho da boticario e um pincel chinfrado pra tentar fazer um ""delineador"" ctz q só fiz gastar dinheiro q n tenho 🤣 agors to atras de um pó pq eu nao tenho mas o frete ta absurdo socorro deus"
2022-06-18 03:06:12+00:00,0,loudcmila,"Ceará, Brasil",meninas digam um perfume bom da boticario pra mim comprar
2022-06-18 02:20:10+00:00,3,soutoluca,Rio de Janeiro Brasil,"Tiktok me ensinou que o men only da Boticário tem o mesma fragrância do 212 men vip. Agora o boy (eu) mantém o perfume do dia a dia e só usa o importado em ocasiões especiais. 

Obrigado tiktok"
2022-06-18 02:14:13+00:00,2,joaogpnfs,"Teresina, Brazil",Vão me dar sabonete da boticário de presente Bolsonaro faz alguma coisa 😭😭😭😭
2022-06-18 02:05:49+00:00,1,caroliscp,"Recife, Pernambuco",Esse hidratante novo da o Boticário é deliciosoooooooo n me canso de cheirar ele
2022-06-18 02:00:33+00:00,1,a_giovanaaaa,"Paraná, Brasil","Tava olhando meus destaques e reparei que desde que sai do Boticário, não pintei a unha mais KKKKKKKK MEO DEOS"
2022-06-18 01:56:08+00:00,1,marfrtd,"Marabá, Brasil",queria ser blogueira pra ser patrocinada pela o boticário pq eu entro lá e tenho vontade de comprar tudo
2022-06-18 01:46:21+00:00,0,Mitsmartins,"Rio Grande, Brasil","@livmv222 Vamo se trocar, eu compro um batom da Mary Kay e tu um do Boticário kkkkkkkkkk

Te amo gatonaaa"
2022-06-18 01:41:20+00:00,0,AntonyAlvsss,👣💙👑,"Miguel perguntou se eu queria alguma coisa, aproveitei que a vó dele vende boticário e pedi um kit da boti baby, mt bonzinho esse titio😍🥰💕"
2022-06-18 01:39:40+00:00,1,gxbrielalmeida,petrocity ,"@prrkezia mulher, passei na loja da Boticário hj para sentir a fragrância do hidratante morango ruby que eu queria comprar, só faltou a vendedora tacar o tubo do creme na minha cara..."
2022-06-18 01:28:24+00:00,0,viih_daniberg,cidreira ,Eu que ganhei de dia dos namorados sem ainda está namorando um presente da boticário a mãe da podendo 😊😊
2022-06-18 01:19:41+00:00,0,bycolmenero,🦭,o atendente da boticario que fofo serio 😭 um amor ele
2022-06-18 01:17:51+00:00,1,p1ec6,,@i4leville tudo de mais doce da boticário vai pra sua casa
2022-06-18 01:09:36+00:00,0,bandeirasamyraa,,to louca num Deleite da O boticário. que creme delicinha
2022-06-18 01:08:33+00:00,1,tatisoa15,,@tatisoa15's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
2022-06-18 01:04:16+00:00,4,e_florees,"Guaíba, Brasil","To quase virando socia do boticario, toda semana eu gasto uma paulada la, sorte de quem ganha presente de mim 😌"
2022-06-18 01:02:20+00:00,4,PrettinhaC,🥰🤍,Comprei um hidratante da Boticário tão cheiroso🥰
2022-06-18 00:54:31+00:00,1,Mariii_Alca,,"Meu erro foi entrar na O Boticário, agr preciso de um kit da Glamour Secrets e um da Coffe."
2022-06-18 00:45:57+00:00,1,Iucianja,rn,nao tem boquinha nao o hidratante lily da boticario é o maior que temos
2022-06-18 00:45:49+00:00,1,MadugomesCRF,"Brasília, Brasil",Gastei meu dinheiro que eu não tenho na revista da Boticário KKKKKKKKk que ódio
2022-06-18 00:43:56+00:00,0,Lariss_ramoss,,"Eu: não posso gastar mais esse mês…

Eu também comprando um monte de maquiagem da Eudora, Mary kay e Boticário 🤡"
2022-06-18 00:33:30+00:00,0,Ghenox3,,vou querer a linha nova com cheiro de morango da boticário
2022-06-18 00:31:41+00:00,0,rmaaiia,,complicadíssimo namorar quem usa boticário/natura pq aí tu termina e fica sentindo o perfume da pessoa em outras pessoas quase todo dia
